gccsa_name_2011, psq_cert_pc, p_tot, psq_postgrad_deg_pc, gccsa_code_2011, psq_adv_dip_dip_pc, psq_bach_deg_pc, year, psq_grad_dip_cert_pc
"Greater Sydney",15.2,4608949,5.6,"1GSYD",9.0,16.9,"2011",1.6
"Rest of NSW",22.1,2609580,2.0,"1RNSW",7.1,9.1,"2011",1.3
"Greater Melbourne",15.0,4169366,4.7,"2GMEL",8.8,16.6,"2011",2.3
"Rest of Vic.",20.7,1368451,1.6,"2RVIC",7.2,9.1,"2011",1.8
"Greater Brisbane",18.1,2147436,3.9,"3GBRI",8.0,14.5,"2011",1.8
"Rest of Qld",21.5,2329342,1.7,"3RQLD",7.1,9.2,"2011",1.1
"Greater Adelaide",18.1,1264091,3.3,"4GADE",7.8,13.2,"2011",1.7
"Rest of SA",20.9,375523,0.8,"4RSAU",5.7,6.4,"2011",1.0
"Greater Perth",18.6,1833567,3.4,"5GPER",8.6,14.5,"2011",1.8
"Rest of WA",22.6,519842,1.1,"5RWAU",6.4,8.1,"2011",1.1
"Greater Hobart",18.8,216273,3.5,"6GHOB",7.1,13.2,"2011",2.0
"Rest of Tas.",21.2,295210,1.5,"6RTAS",6.2,8.2,"2011",1.1
"Greater Darwin",20.5,129106,3.2,"7GDAR",7.6,12.1,"2011",2.0
"Rest of NT",16.5,102186,1.9,"7RNTE",5.1,8.0,"2011",1.5
"Australian Capital Territory",13.5,367985,8.9,"8ACTE",9.0,21.3,"2011",3.8
"Other Territories",13.2,3117,1.3,"9OTER",5.1,6.2,"2011",1.2
